00 01=#000000
10 11=#444400
20 21=#702800
30 31=#841800
40 41=#880000
50 51=#78005C
60 61=#480078
70 71=#140084
80 81=#000088
90 91=#00187C
A0 A1=#002C5C
B0 B1=#003C2C
C0 C1=#003C00
D0 D1=#143800
E0 E1=#2C3000
F0 F1=#442800
02 03=#404040
12 13=#646410
22 23=#844414
32 33=#983418
42 43=#9C2020
52 53=#8C2074
62 63=#602090
72 73=#302098
82 83=#1C209C
92 93=#1C3890
A2 A3=#1C4C78
B2 B3=#1C5C48
C2 C3=#205C20
D2 D3=#345C1C
E2 E3=#4C501C
F2 F3=#644818
04 05=#6C6C6C
14 15=#848424
24 25=#985C28
34 35=#AC5030
44 45=#B03C3C
54 55=#A03C88
64 65=#783CA4
74 75=#4C3CAC
84 85=#3840B0
94 95=#3854A8
A4 A5=#386890
B4 B5=#387C64
C4 C5=#407C40
D4 D5=#507C38
E4 E5=#687034
F4 F5=#846830
06 07=#909090
16 17=#A0A034
26 27=#AC783C
36 37=#C06848
46 47=#C05858
56 57=#B0589C
66 67=#8C58B8
76 77=#6858C0
86 87=#505CC0
96 97=#5070BC
A6 A7=#5084AC
B6 B7=#509C80
C6 C7=#5C9C5C
D6 D7=#6C9850
E6 E7=#848C4C
F6 F7=#A08444
08 09=#B0B0B0
18 19=#B8B840
28 29=#BC8C4C
38 39=#D0805C
48 49=#D07070
58 59=#C070B0
68 69=#A070CC
78 79=#7C70D0
88 89=#6874D0
98 99=#6888CC
A8 A9=#689CC0
B8 B9=#68B494
C8 C9=#74B474
D8 D9=#84B468
E8 E9=#9CA864
F8 F9=#B89C58
0A 0B=#C8C8C8
1A 1B=#D0D050
2A 2B=#CCA05C
3A 3B=#E09470
4A 4B=#E08888
5A 5B=#D084C0
6A 6B=#B484DC
7A 7B=#9488E0
8A 8B=#7C8CE0
9A 9B=#7C9CDC
AA AB=#7CB4D4
BA BB=#7CD0AC
CA CB=#8CD08C
DA DB=#9CCC7C
EA EB=#B4C078
FA FB=#D0B46C
0C 0D=#DCDCDC
1C 1D=#E8E85C
2C 2D=#DCB468
3C 3D=#ECA880
4C 4D=#ECA0A0
5C 5D=#DC9CD0
6C 6D=#C49CEC
7C 7D=#A8A0EC
8C 8D=#90A4EC
9C 9D=#90B4EC
AC AD=#90CCE8
BC BD=#90E4C0
CC CD=#A4E4A4
DC DD=#B4E490
EC ED=#CCD488
FC FD=#E8CC7C
0E 0F=#ECECEC
1E 1F=#FCFC68
2E 2F=#ECC878
3E 3F=#FCBC94
4E 4F=#FCB4B4
5E 5F=#ECB0E0
6E 6F=#D4B0FC
7E 7F=#BCB4FC
8E 8F=#A4B8FC
9E 9F=#A4C8FC
AE AF=#A4E0FC
BE BF=#A4FCD4
CE CF=#B8FCB8
DE DF=#C8FCA4
EE EF=#E0EC9C
FE FF=#FCE08C
